id,title,description,category,phone_code,phone_number,email,avg_review,review_count,image_url
11,Climateros S.L,"Empresa dedicada a la instalación y mantenimiento de sistemas de climatización y aire acondicionado en la finca. Su labor incluye la revisión periódica de equipos, reparación de averías y garantizar un ambiente confortable en todas las estaciones del año.",Climatización y Aire Acondicionado,34,694754833,climatizacioncool@example.com,4.5,97,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678008/AppMinistrador/service_providers/air-conditionate_uj0on6.jpg
12,Boor Studio,"Ofrece servicios de construcción, remodelación y reparación de estructuras en la finca. Puede encargarse de proyectos de ampliación, renovación de interiores, reparación de techos y otras obras de mantenimiento y mejora.",Construcción y Reparaciones,34,603938474,construrepara@example.com,4,124,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678010/AppMinistrador/service_providers/builders-2_uum1pw.jpg
13,Administradoresromero S.L,"Empresa especializada en la gestión integral de propiedades de alquiler, incluida la finca de arrendatarios. Proporciona servicios como cobro de alquileres, mantenimiento de registros, coordinación de reparaciones y comunicación con los arrendatarios.",Administración de Propiedades,34,643830292,adminpropiedades@example.com,4,401,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678024/AppMinistrador/service_providers/management_zzzbxs.jpg
14,Landscapes S.A,"Profesionales que ofrecen servicios de diseño y planificación de espacios exteriores en la finca. Se encargan de crear ambientes estéticamente agradables y funcionales mediante la selección de plantas, mobiliario de exterior y elementos decorativos.",Paisajismo y Diseño de Exteriores,34,618339234,exteriordesign@example.com,3,74,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678018/AppMinistrador/service_providers/gardening_abk0i2.jpg
15,Basureros Muñoz S.L,"Empresa encargada de la recolección y disposición adecuada de los residuos generados en la finca. Proporciona contenedores adecuados para la separación de residuos reciclables y no reciclables, así como su recolección periódica.",Recolección de Basura y Residuos,34,603874492,reciclajeservicio@example.com,5,314,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678034/AppMinistrador/service_providers/trash-collector_nezkt9.jpg
16,CleanAires S.L,"Especialistas en la limpieza y mantenimiento de conductos de aire acondicionado, calefacción y ventilación en la finca. Eliminan la acumulación de polvo, suciedad y contaminantes para mejorar la calidad del aire interior y el rendimiento de los sistemas de climatización.",Limpieza de Conductos de Aire,34,603827284,airepuro@example.com,2.5,67,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678565/AppMinistrador/service_providers/gas-2_r7rd1f.jpg
17,TecMaster Electrodomésticos,"Técnicos especializados en la reparación de electrodomésticos en la finca, como lavadoras, refrigeradores, hornos, entre otros. Ofrecen diagnóstico de averías, piezas de repuesto y reparaciones rápidas para garantizar el funcionamiento óptimo de los aparatos.",Reparación de Electrodomésticos,34,619282744,reparaelectro@example.com,4,42,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678020/AppMinistrador/service_providers/internet-robots_h1qgdh.jpg
18,Bob el Constructor Servicio,"Empresa que suministra materiales de construcción para proyectos de mantenimiento, reparación o renovación en la finca. Ofrece una amplia gama de materiales como cemento, madera, azulejos, pinturas y herramientas para satisfacer las necesidades de construcción.",Materiales de Construcción,34,923827734,materialconstruccion@example.com,4.5,85,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678015/AppMinistrador/service_providers/garbage-collectors-2_jjrdoj.jpg
19,La Alfombra Mágica S.L,"Profesionales especializados en la limpieza y mantenimiento de alfombras, tapicería y muebles tapizados en la finca. Utilizan técnicas y productos específicos para eliminar manchas, olores y suciedad, prolongando la vida útil de estos elementos.",Limpieza de Alfombras y Tapicería,34,692832742,alfombraslimpias@example.com,4,49,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678011/AppMinistrador/service_providers/carpet-cleaning_ilhbo6.jpg
20,Techados Pérez S.L,"Empresa encargada del mantenimiento y reparación de techos en la finca. Realiza inspecciones periódicas, reparación de goteras, limpieza de canalones y reemplazo de tejas o materiales dañados para garantizar la integridad estructural del edificio.",Mantenimiento de Techos,34,929428400,techomantenimiento@example.com,4,94,https://res.cloudinary.com/dlz0pxdtz/image/upload/v1712678031/AppMinistrador/service_providers/roof-repair_x3pssb.jpg
